tenant_id,date_added,song_id
torresadrian@yahoo.com,1998-02-16 20:45:09,5ced8fcd-662c-469f-9e62-141672f0fc79
montoyasamuel@gmail.com,1994-08-29 16:13:33,83fc4232-9b64-4d64-bd24-eca152cfe0c1
randyjackson@gmail.com,1998-01-02 18:17:22,37e8632b-e160-4ffc-ba22-fcd9f9cd3aaf
ocraig@marsh.org,1982-11-12 07:13:27,3cc0d1d6-79b8-48b6-9aa3-5f4ad11dcce1
linancy@calderon-rich.com,1991-05-23 03:41:29,1aa81894-057a-4a1e-bac6-6c2cc710ca32
devinholmes@gmail.com,1971-11-25 13:28:42,c4c2943e-b212-48cf-b6e9-e87a9f99ea49
matthewalexander@malone-king.biz,1970-01-24 22:30:09,2a2a7d77-16f5-462e-a5af-a997b9485f00
jillian22@rowe.com,2017-05-20 09:29:53,fb93969a-76bd-4b69-84e6-6e09e9ed1867
nicolebowers@turner.org,2020-01-23 18:52:08,1a590094-258a-4b1b-bea5-49f60df7d1f1
neallisa@russell-brandt.com,1975-05-16 02:20:10,6a6adb47-36f9-40d6-9d78-ac6e4fffa573
fjohnson@gmail.com,2002-03-26 08:08:55,879a72a0-accf-4feb-aeb8-ed2f3df5b9ba
samantha96@gmail.com,1999-04-15 08:09:24,4b2d8124-609d-4399-b406-275a6351c1d0
navarropatricia@fitzgerald.net,1983-01-12 16:07:22,7a6af53e-0db1-4ed6-9b13-61b5163544be
markdavis@church.com,1981-06-14 01:12:55,8d7804b0-ba75-4485-9d5b-12a757af62cd
mendezteresa@roberts.org,1996-05-26 09:20:14,90c8a4ef-4be9-46ca-86c4-17cd1dd829db
hkaufman@gmail.com,2013-07-23 02:06:11,38f4c7ed-a54d-4e41-ab7b-7ec96e91bf14
robert23@dougherty.net,2024-08-19 18:42:50,0f4f2fe9-1f9f-49af-b8fd-8907a11347bf
teresafry@barrett-jackson.com,2004-10-19 01:27:13,a4b9a531-61ce-439d-852b-19748d5e2cc9
alyssa37@hotmail.com,2005-06-01 00:29:20,8a8cb94b-0ae4-447d-815c-33f359b04d37
sarahmccann@taylor.com,1985-12-29 08:03:45,86926f6a-70ea-4321-a9f4-d86cdbda82dc
wyoung@moss.com,1994-09-14 09:17:58,529d7411-5af0-4f8c-a217-c676b5135f6c
jasonhall@reyes.com,1976-06-07 10:35:13,a494ec0c-e33f-4483-bbd9-fcdad43073fd
davidchapman@burton.info,1996-08-15 11:03:17,e95922bd-8b4a-4273-8671-cb476cd76d2f
bellsheila@ross-holland.org,1997-03-20 18:20:36,69536b0a-9ccd-408f-a8cb-c17cd1741f6f
christinalewis@hull-smith.com,1981-05-11 08:53:52,276c958a-81a6-4b10-be75-4b1b5f41aa35
peterramsey@bell.net,1987-02-24 09:23:01,1032cff5-769d-44fd-88e4-a2019fbe8f9f
shannonjeffrey@bennett.com,1979-11-20 12:09:18,fe6a9717-b960-40a9-88e9-6c8741b7092e
murphyanthony@hotmail.com,2015-01-16 12:11:30,b6ccf376-c377-4aba-8daf-1d9af841899e
perrymason@brock-james.com,1981-04-29 00:04:41,0d654e7d-17ca-4cca-84c6-b128d2a6a949
jacobscameron@gmail.com,1992-01-17 16:53:03,94d87789-24c9-4f29-8d01-91f8fa9ebc69
matthewtodd@yahoo.com,1979-06-01 10:11:09,b9e4e434-cf42-4ff3-b532-8a9e28a297c8
